member_id,first_name,last_name,email,position,phone,zip,major_name,college,budget_id,spent,remaining,Budget,event_name,Date,location,Expense,Income,city,county,state
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recJOc7f9KgpgJm5q,6,4,10,October Speaker,22-10-2019,MU 215,6,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recJOc7f9KgpgJm5q,6,4,10,October Speaker,22-10-2019,MU 215,6,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recZuCiQzCDAs4zDQ,13.45,11.55,25,October Speaker,22-10-2019,MU 215,13.45,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recZuCiQzCDAs4zDQ,13.45,11.55,25,October Speaker,22-10-2019,MU 215,13.45,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recr60T1tLsfdICV8,154.34,0.66,155,October Speaker,22-10-2019,MU 215,92.82,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recr60T1tLsfdICV8,154.34,0.66,155,October Speaker,22-10-2019,MU 215,92.82,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recr60T1tLsfdICV8,154.34,0.66,155,October Speaker,22-10-2019,MU 215,61.52,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recr60T1tLsfdICV8,154.34,0.66,155,October Speaker,22-10-2019,MU 215,61.52,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recsI0IzpUuxl2bPh,67.81,7.19,75,October Speaker,22-10-2019,MU 215,67.81,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recsI0IzpUuxl2bPh,67.81,7.19,75,October Speaker,22-10-2019,MU 215,67.81,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,rec0QmEc3cSQFQ6V2,67.81,7.19,75,September Speaker,24-09-2019,MU 215,67.81,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,rec0QmEc3cSQFQ6V2,67.81,7.19,75,September Speaker,24-09-2019,MU 215,67.81,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,rec5V70sIuIgpOzDT,173.06,-23.06,150,September Speaker,24-09-2019,MU 215,59.73,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,rec5V70sIuIgpOzDT,173.06,-23.06,150,September Speaker,24-09-2019,MU 215,59.73,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,rec5V70sIuIgpOzDT,173.06,-23.06,150,September Speaker,24-09-2019,MU 215,113.33,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,rec5V70sIuIgpOzDT,173.06,-23.06,150,September Speaker,24-09-2019,MU 215,113.33,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recZdw5TjWrRTj4kp,6,4,10,September Speaker,24-09-2019,MU 215,6,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recZdw5TjWrRTj4kp,6,4,10,September Speaker,24-09-2019,MU 215,6,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,rectLnkwVg4AIgY0R,13.45,11.55,25,September Speaker,24-09-2019,MU 215,13.45,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,rectLnkwVg4AIgY0R,13.45,11.55,25,September Speaker,24-09-2019,MU 215,13.45,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recRQdaiKCxFAlPCy,295.12,4.88,300,Registration,01-09-2019,Campus Common,295.12,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recRQdaiKCxFAlPCy,295.12,4.88,300,Registration,01-09-2019,Campus Common,295.12,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,rec1bG6HSft7XIvTP,121.14,28.86,150,October Meeting,08-10-2019,MU 215,69.33,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,rec1bG6HSft7XIvTP,121.14,28.86,150,October Meeting,08-10-2019,MU 215,69.33,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,rec1bG6HSft7XIvTP,121.14,28.86,150,October Meeting,08-10-2019,MU 215,51.81,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,rec1bG6HSft7XIvTP,121.14,28.86,150,October Meeting,08-10-2019,MU 215,51.81,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recTxecmwIhCdIKvl,54.25,0.75,55,October Meeting,08-10-2019,MU 215,54.25,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recTxecmwIhCdIKvl,54.25,0.75,55,October Meeting,08-10-2019,MU 215,54.25,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recN9yY7okNrFps0Y,74.59,0.41,75,November Speaker,19-11-2019,MU 215,74.59,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recN9yY7okNrFps0Y,74.59,0.41,75,November Speaker,19-11-2019,MU 215,74.59,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recTUGXxhTaFZ2qkg,6,4,10,November Speaker,19-11-2019,MU 215,6,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recTUGXxhTaFZ2qkg,6,4,10,November Speaker,19-11-2019,MU 215,6,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recutlCwBNym7tS12,16.28,8.72,25,November Speaker,19-11-2019,MU 215,16.28,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recutlCwBNym7tS12,16.28,8.72,25,November Speaker,19-11-2019,MU 215,16.28,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,reczf4LoOK6z7oOec,122.33,27.67,150,November Speaker,19-11-2019,MU 215,62.6,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,reczf4LoOK6z7oOec,122.33,27.67,150,November Speaker,19-11-2019,MU 215,62.6,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,reczf4LoOK6z7oOec,122.33,27.67,150,November Speaker,19-11-2019,MU 215,59.73,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,reczf4LoOK6z7oOec,122.33,27.67,150,November Speaker,19-11-2019,MU 215,59.73,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recca5tkvdQgoLKZz,327.07,22.93,350,Yearly Kickoff,03-09-2019,MU 215,103.62,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recca5tkvdQgoLKZz,327.07,22.93,350,Yearly Kickoff,03-09-2019,MU 215,103.62,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recca5tkvdQgoLKZz,327.07,22.93,350,Yearly Kickoff,03-09-2019,MU 215,28.15,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recca5tkvdQgoLKZz,327.07,22.93,350,Yearly Kickoff,03-09-2019,MU 215,28.15,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recca5tkvdQgoLKZz,327.07,22.93,350,Yearly Kickoff,03-09-2019,MU 215,195.3,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recca5tkvdQgoLKZz,327.07,22.93,350,Yearly Kickoff,03-09-2019,MU 215,195.3,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recvKTAWAFKkVNnXQ,122.06,27.94,150,Yearly Kickoff,03-09-2019,MU 215,122.06,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recvKTAWAFKkVNnXQ,122.06,27.94,150,Yearly Kickoff,03-09-2019,MU 215,122.06,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recMc8TbR76rmUSHG,54.25,0.75,55,September Meeting,10-09-2019,MU 215,54.25,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recMc8TbR76rmUSHG,54.25,0.75,55,September Meeting,10-09-2019,MU 215,54.25,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recwXIiKoBMjXJsGZ,101.94,48.06,150,September Meeting,10-09-2019,MU 215,51.81,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recwXIiKoBMjXJsGZ,101.94,48.06,150,September Meeting,10-09-2019,MU 215,51.81,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recwXIiKoBMjXJsGZ,101.94,48.06,150,September Meeting,10-09-2019,MU 215,50.13,50,Grosse Pointe,Wayne County,Michigan
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,454-555-7970,48236,Nutrition Science,College of Agriculture and Applied Sciences,recwXIiKoBMjXJsGZ,101.94,48.06,150,September Meeting,10-09-2019,MU 215,50.13,50,Grosse Pointe,Wayne County,Michigan
recttfySfQnYb68u3,Annabella,Warren,annabella.warren@lpu.edu,Secretary,727-555-2732,60047,Human Experience Design and Interaction,College of Education & Human Services,recJOc7f9KgpgJm5q,6,4,10,October Speaker,22-10-2019,MU 215,6,50,Lake Zurich,Lake County,Illinois
recttfySfQnYb68u3,Annabella,Warren,annabella.warren@lpu.edu,Secretary,727-555-2732,60047,Human Experience Design and Interaction,College of Education & Human Services,recZuCiQzCDAs4zDQ,13.45,11.55,25,October Speaker,22-10-2019,MU 215,13.45,50,Lake Zurich,Lake County,Illinois
recttfySfQnYb68u3,Annabella,Warren,annabella.warren@lpu.edu,Secretary,727-555-2732,60047,Human Experience Design and Interaction,College of Education & Human Services,recr60T1tLsfdICV8,154.34,0.66,155,October Speaker,22-10-2019,MU 215,92.82,50,Lake Zurich,Lake County,Illinois
recttfySfQnYb68u3,Annabella,Warren,annabella.warren@lpu.edu,Secretary,727-555-2732,60047,Human Experience Design and Interaction,College of Education & Human Services,recr60T1tLsfdICV8,154.34,0.66,155,October Speaker,22-10-2019,MU 215,61.52,50,Lake Zurich,Lake County,Illinois
recttfySfQnYb68u3,Annabella,Warren,annabella.warren@lpu.edu,Secretary,727-555-2732,60047,Human Experience Design and Interaction,College of Education & Human Services,recsI0IzpUuxl2bPh,67.81,7.19,75,October Speaker,22-10-2019,MU 215,67.81,50,Lake Zurich,Lake County,Illinois
recttfySfQnYb68u3,Annabella,Warren,annabella.warren@lpu.edu,Secretary,727-555-2732,60047,Human Experience Design and Interaction,College of Education & Human Services,rec0QmEc3cSQFQ6V2,67.81,7.19,75,September Speaker,24-09-2019,MU 215,67.81,50,Lake Zurich,Lake County,Illinois
recttfySfQnYb68u3,Annabella,Warren,annabella.warren@lpu.edu,Secretary,727-555-2732,60047,Human Experience Design and Interaction,College of Education & Human Services,rec5V70sIuIgpOzDT,173.06,-23.06,150,September Speaker,24-09-2019,MU 215,59.73,50,Lake Zurich,Lake County,Illinois
recttfySfQnYb68u3,Annabella,Warren,annabella.warren@lpu.edu,Secretary,727-555-2732,60047,Human Experience Design and Interaction,College of Education & Human Services,rec5V70sIuIgpOzDT,173.06,-23.06,150,September Speaker,24-09-2019,MU 215,113.33,50,Lake Zurich,Lake County,Illinois
recttfySfQnYb68u3,Annabella,Warren,annabella.warren@lpu.edu,Secretary,727-555-2732,60047,Human Experience Design and Interaction,College of Education & Human Services,recZdw5TjWrRTj4kp,6,4,10,September Speaker,24-09-2019,MU 215,6,50,Lake Zurich,Lake County,Illinois
recttfySfQnYb68u3,Annabella,Warren,annabella.warren@lpu.edu,Secretary,727-555-2732,60047,Human Experience Design and Interaction,College of Education & Human Services,rectLnkwVg4AIgY0R,13.45,11.55,25,September Speaker,24-09-2019,MU 215,13.45,50,Lake Zurich,Lake County,Illinois
recttfySfQnYb68u3,Annabella,Warren,annabella.warren@lpu.edu,Secretary,727-555-2732,60047,Human Experience Design and Interaction,College of Education & Human Services,recRQdaiKCxFAlPCy,295.12,4.88,300,Registration,01-09-2019,Campus Common,295.12,50,Lake Zurich,Lake County,Illinois
recttfySfQnYb68u3,Annabella,Warren,annabella.warren@lpu.edu,Secretary,727-555-2732,60047,Human Experience Design and Interaction,College of Education & Human Services,recN9yY7okNrFps0Y,74.59,0.41,75,November Speaker,19-11-2019,MU 215,74.59,50,Lake Zurich,Lake County,Illinois
